Name,Open,Closed,Address,Rating,# of ratings,Website,Type
Central Canal,NULL,NULL,Indianapolis,4.8,197,NULL,tourist_attraction
The Children's Museum of Indianapolis,10:00,17:00,"3000 N Meridian St, Indianapolis",4.7,13122,https://www.childrensmuseum.org/,tourist_attraction
White River State Park,05:00,23:00,"801 W Washington St, Indianapolis",4.7,4461,https://www.whiteriverstatepark.org/,tourist_attraction
Rhythm! Discovery Center,10:00,17:00,"Claypool Court Building, 110 W Washington St A, Indianapolis",4.7,284,http://rhythmdiscoverycenter.org/,museum
Indianapolis Zoo,09:00,16:00,"1200 W Washington St, Indianapolis",4.5,16731,http://www.indianapoliszoo.com/,zoo
Indiana State Museum,10:00,17:00,"650 W Washington St, Indianapolis",4.6,3337,http://www.indianamuseum.org/,museum
Catacombs,NULL,NULL,"222 E Market St, Indianapolis",3.8,79,NULL,tourist_attraction
Indiana War Memorial & Museum,09:00,17:00,"55 E Michigan St, Indianapolis",4.7,2372,https://www.indianawarmemorials.org/,tourist_attraction
Garfield Park,10:00,17:00,"2345 Pagoda Dr, Indianapolis",4.6,3099,http://funfinder.indy.gov/#/details/134,park
Garfield Park Conservatory,10:00,17:00,"2505 Conservatory Dr, Indianapolis",4.7,1313,https://www.garfieldgardensconservatory.org/,tourist_attraction
Garfield Lake,NULL,NULL,Indianapolis,5,2,NULL,tourist_attraction
Central Canal,NULL,NULL,"Canal Walk, Indianapolis",4.6,36,NULL,park
Highland Park,08:00,21:00,"1100 E New York St, Indianapolis",4.5,249,http://funfinder.indy.gov/#/details/9,park
Indiana Medical History Museum,10:00,16:00,"3270 Kirkbride Way, Indianapolis",4.7,395,http://www.imhm.org/,museum
Indianapolis Canal Walk,07:00,20:00,"Canal Walk, Indianapolis",4.7,2288,https://www.whiteriverstatepark.org/,park
Eiteljorg Museum,10:00,17:00,"500 W Washington St, Indianapolis",4.6,1657,http://www.eiteljorg.org/,tourist_attraction
American Legion Mall,07:00,23:00,"700 N Pennsylvania St, Indianapolis",4.5,519,http://www.in.gov/iwm/2331.htm,park
The Escape Room Indianapolis,13:00,22:00,"200 S Meridian St STE 220, Indianapolis",4.8,1863,https://escaperoomindy.com/,tourist_attraction
Global Gifts,10:00,18:00,"446 Massachusetts Ave, Indianapolis",4.7,65,https://www.globalgiftsft.com/,point_of_interest
Tuggle's Gifts & Goods,11:00,18:00,"1029 Virginia Ave, Indianapolis",5,12,http://tugglesgiftsandgoods.com/,point_of_interest
Silver In the City,10:00,20:00,"434 Massachusetts Ave, Indianapolis",4.7,414,http://www.silverinthecity.com/,jewelry_store
Gift Shop One,NULL,NULL,"Embassy suites, 110 W Washington St 3rd floor, Indianapolis",3.9,9,NULL,point_of_interest
"Indiana State Museum, Gallery Shop",10:00,17:00,"650 W Washington St L.S. Ayres Tea Room, Indianapolis",4.7,9,https://www.indianamuseum.org/experiences/,point_of_interest
Artisans,12:00,18:00,"429 Massachusetts Ave, Indianapolis",5,5,http://www.artisansindy.com/,art_gallery
Pumkinfish,10:30,21:00,"906 Carrollton Ave Ste 440, Indianapolis",4.1,30,http://www.pumkinfish.com/,point_of_interest
Indianapolis Zoo Gift Shop,09:00,16:00,"1200 W Washington St, Indianapolis",4.5,61,https://www.muzemerch.com/partner/indianapolis-zoo,point_of_interest
Stomping Ground,11:00,18:00,"1625 Nowland Ave, Indianapolis",5,36,http://stompinggroundindy.com/,point_of_interest
The Indiana Store,10:00,17:00,"650 W Washington St, Indianapolis",3.8,5,http://in.gov/,point_of_interest
Homespun: Modern Handmade,10:00,20:00,"869 Massachusetts Ave, Indianapolis",4.8,202,https://www.homespunindy.com/,art_gallery
Circle City Souvenirs,23:00,19:00,"49 W Maryland St, Indianapolis",4.6,31,https://www.circlecitysouvenirs.com/,point_of_interest
All Occasions Gifts & Flowers,NULL,NULL,"3837 E 10th St, Indianapolis",5,23,NULL,florist
